Country,CountryID,Population.median.age..years.,Age.standardized.mortality.rate.for.cancer..per.100.000.population.,Breast_cancer_deaths_per_100_000_women,Breast_cancer_new_cases_per_100_000_women,Prostate_cancer_deaths_per_100_000_men,Prostate_cancer_new_cases_per_100_000_men,Lung_cancer_deaths_per_100_000_men,Lung_cancer_deaths_per_100_000_women,Colon_and_Rectum_cancer_new_cases_per_100_000_men,Cervical_cancer_new_cases_per_100_000_women,Health_expenditure_per_person,Health_expenditure_public_pct_of_GDP,Laboratory.health.workers.density..per.10.000.population.,Community.and.traditional.health.workers.density..per.10.000.population.,Out.of.pocket.expenditure.as.percentage.of.private.expenditure.on.health,Private.expenditure.on.health.as.percentage.of.total.expenditure.on.health,General.government.expenditure.on.health.as.percentage.of.total.government.expenditure,Births_attended_by_skilled_health_staff,Stomach_cancer_deaths_per_100_000_women,Stomach_cancer_new_cases_per_100_000_men,Stomach_cancer_new_cases_per_100_000_women,Stomach_cancer_number_of_female_deaths,Stomach_cancer_number_of_male_deaths,Stomach_cancer_number_of_new_female_cases,Stomach_cancer_number_of_new_male_cases,Cervical_cancer_number_of_female_deaths,Cervical_cancer_number_of_new_female_cases,Colon_and_Rectum_cancer_deaths_per_100_000_men,Colon_and_Rectum_cancer_deaths_per_100_000_women,Colon_and_Rectum_cancer_new_cases_per_100_000_women,Colon_and_Rectum_cancer_number_of_female_deaths,Colon_and_Rectum_cancer_number_of_male_deaths,Colon_and_Rectum_cancer_number_of_new_female_cases,Colon_and_Rectum_cancer_number_of_new_male_cases,Life_expectancy_at_birth,Life.expectancy.at.birth..years..female,Life.expectancy.at.birth..years..male,Region
Afghanistan,1,16.0,153.0,11.7,26.8,2.8,4.5,11.3,2.7,5.2,6.9,20.0,1.04,,,97.2,72.5,4.4,14.3,8.3,18.5,9.7,499.0,936.0,592.0,1108.0,254.0,511.0,3.3,2.8,4.5,193.0,236.0,316.0,377.0,43.4,43.0,42.0,South Asia
Armenia,8,32.0,146.0,22.09,51.6,6.26,10.2,45.62,5.96,8.5,16.8,88.0,1.78,,,87.6,58.8,9.7,97.8,5.76,21.7,9.9,198.0,331.0,236.0,396.0,130.0,380.0,9.64,8.03,7.9,137.0,115.0,187.0,159.0,71.82,72.0,65.0,Central Asia
Azerbaijan,11,28.0,113.0,10.34,31.5,7.27,7.5,21.83,4.63,5.7,8.2,62.0,0.97,,,83.5,69.1,3.6,99.7,11.04,36.0,15.6,572.0,964.0,672.0,1161.0,113.0,345.0,5.14,3.97,4.3,119.0,124.0,178.0,187.0,67.33,66.0,62.0,Central Asia
Bahrain,13,29.0,127.0,17.7,40.2,9.9,15.9,28.6,12.4,12.3,8.5,710.0,2.53,7.0,,69.2,33.6,9.5,99.0,5.1,8.2,5.8,8.0,15.0,10.0,19.0,9.0,17.0,8.0,4.8,7.3,9.0,20.0,14.0,32.0,75.43,76.0,74.0,West Asia/Middle East
Bangladesh,14,22.0,111.0,7.3,16.6,0.2,0.3,20.8,3.3,1.0,27.6,12.0,0.81,,2.0,88.3,63.2,7.4,20.1,0.8,1.6,1.0,334.0,565.0,402.0,675.0,6561.0,12931.0,0.6,0.6,0.9,252.0,294.0,410.0,475.0,63.55,63.0,63.0,South Asia
Bhutan,21,23.0,112.0,9.6,21.8,2.7,4.4,11.0,2.2,4.7,26.4,52.0,2.84,,1.0,100.0,31.4,7.3,50.9,3.0,6.8,3.5,22.0,39.0,27.0,46.0,105.0,200.0,3.0,2.1,3.4,16.0,20.0,26.0,34.0,65.08,67.0,62.0,South Asia
Cambodia,30,20.0,148.0,9.5,21.5,4.6,7.5,20.9,4.5,11.3,38.7,28.57,1.55,,,84.4,73.9,10.7,43.8,4.3,16.1,5.1,180.0,364.0,215.0,432.0,949.0,1768.0,6.9,3.5,5.4,155.0,216.0,239.0,358.0,58.98,65.0,59.0,Southeast Asia
China,37,33.0,148.0,5.5,18.7,1.0,1.7,36.7,16.3,13.6,6.8,81.0,1.82,2.0,,92.9,58.0,9.9,97.8,15.1,41.4,19.2,101719.0,206632.0,128478.0,264460.0,25561.0,45689.0,7.9,5.3,9.3,35902.0,50200.0,62514.0,88142.0,72.73,75.0,72.0,East Asia
Cyprus,47,35.0,94.0,29.6,67.2,28.2,45.2,24.8,5.3,23.1,11.6,1350.0,2.54,,,84.3,55.2,6.4,99.0,3.6,6.8,4.3,21.0,30.0,25.0,35.0,25.0,53.0,15.2,12.8,19.6,81.0,83.0,122.0,123.0,79.02,82.0,79.0,West Asia/Middle East
Georgia,66,36.0,91.0,25.1,51.8,4.8,8.1,31.6,6.1,10.7,17.5,123.0,1.68,,,91.9,78.5,5.6,92.4,7.6,19.6,9.1,364.0,537.0,419.0,636.0,225.0,580.0,7.6,5.4,7.6,249.0,247.0,326.0,339.0,70.86,74.0,66.0,Central Asia
India,80,24.0,109.0,10.4,19.1,3.0,4.6,7.9,1.7,4.7,30.7,36.0,0.95,,,94.0,80.4,3.4,46.6,2.4,5.7,2.8,9962.0,19346.0,11743.0,22650.0,74118.0,132082.0,3.4,2.2,3.2,9351.0,13611.0,13555.0,19508.0,64.24,64.0,62.0,South Asia
Indonesia,81,27.0,132.0,11.3,26.1,4.4,7.0,18.6,6.3,11.9,15.7,26.0,0.98,,,66.3,49.6,5.3,71.5,1.8,3.5,2.1,1635.0,2323.0,1925.0,2712.0,7566.0,15050.0,7.6,6.7,10.6,6042.0,6151.0,9577.0,9678.0,70.13,69.0,66.0,Southeast Asia
Iraq,83,19.0,112.0,13.9,31.7,3.6,5.8,21.1,6.2,5.3,3.3,59.0,3.05,5.0,,100.0,27.5,3.4,88.5,3.2,4.5,3.8,217.0,230.0,261.0,275.0,129.0,252.0,3.4,2.9,4.6,201.0,223.0,325.0,356.0,58.92,67.0,48.0,West Asia/Middle East
Israel,85,29.0,133.0,21.62,90.8,9.01,46.8,28.12,9.11,41.9,4.6,1533.0,4.84,,,69.2,34.8,11.1,,4.49,12.5,6.9,211.0,303.0,299.0,421.0,82.0,160.0,16.61,12.29,34.9,668.0,658.0,1506.0,1424.0,80.48,82.0,79.0,West Asia/Middle East
Japan,88,43.0,119.0,8.18,32.7,5.49,12.6,30.22,8.04,49.3,8.0,2936.0,6.74,,,82.4,17.8,17.7,99.8,9.63,62.0,26.1,19085.0,35338.0,35994.0,73785.0,3573.0,7772.0,16.16,9.35,26.5,17187.0,21019.0,37887.0,57764.0,82.27,86.0,79.0,East Asia
Jordan,89,21.0,144.0,14.6,33.0,7.0,11.2,15.3,3.2,10.2,4.3,241.0,4.76,10.0,2.0,76.5,58.0,9.5,99.5,3.4,6.6,4.0,46.0,76.0,57.0,91.0,32.0,60.0,6.6,5.9,9.6,81.0,91.0,130.0,144.0,72.22,74.0,69.0,West Asia/Middle East
Kazakhstan,90,29.0,167.0,14.99,38.7,6.18,9.8,52.04,7.42,9.2,21.6,148.0,2.5,,,100.0,35.4,10.4,99.4,11.58,41.5,18.4,1477.0,2145.0,1747.0,2612.0,729.0,1955.0,11.76,8.49,7.9,495.0,379.0,736.0,577.0,66.47,70.0,59.0,Central Asia
Kuwait,95,29.0,78.0,14.31,31.8,4.02,9.6,12.28,3.08,7.0,6.1,687.0,1.7,,,91.6,21.1,4.9,100.0,2.87,4.8,3.0,11.0,28.0,13.0,32.0,17.0,34.0,4.86,5.63,9.6,27.0,38.0,43.0,61.0,77.42,79.0,77.0,West Asia/Middle East
Kyrgyzstan,96,24.0,106.0,9.65,23.0,4.05,7.7,22.15,4.08,5.0,21.6,29.0,2.46,,,95.4,56.7,8.7,97.9,8.84,36.1,17.9,339.0,498.0,412.0,614.0,186.0,522.0,7.27,6.05,5.8,85.0,63.0,134.0,86.0,,70.0,63.0,Central Asia
Lebanon,99,27.0,90.0,23.4,52.5,6.1,9.8,29.1,4.6,4.6,15.4,460.0,3.78,,,73.9,53.2,11.3,98.0,4.0,7.0,4.6,61.0,82.0,71.0,96.0,131.0,262.0,3.0,2.6,4.0,42.0,40.0,65.0,60.0,71.75,72.0,68.0,West Asia/Middle East
Malaysia,109,25.0,139.0,13.5,30.8,5.5,8.7,27.9,10.1,19.3,15.7,222.0,1.88,,,73.3,54.8,7.0,98.0,5.3,13.2,6.2,452.0,860.0,535.0,1007.0,766.0,1492.0,12.5,10.1,15.7,852.0,966.0,1329.0,1509.0,73.94,74.0,69.0,Southeast Asia
Maldives,110,22.0,123.0,,,,,,,,,316.0,10.61,5.0,28.0,100.0,15.9,14.0,84.0,,,,,,,,,,,,,,,,,67.74,73.0,72.0,South Asia
Mongolia,120,25.0,306.0,3.5,6.6,1.7,3.7,27.6,13.0,4.4,18.0,35.0,3.33,,,84.0,16.4,11.0,99.2,19.4,39.2,23.3,162.0,241.0,194.0,290.0,92.0,171.0,5.0,2.5,3.4,20.0,34.0,27.0,32.0,66.36,70.0,62.0,East Asia
Myanmar,124,27.0,115.0,8.9,20.2,1.2,2.0,25.5,11.8,5.2,24.6,4.0,0.26,,10.0,99.4,83.2,1.8,67.5,6.6,11.7,7.8,1239.0,1655.0,1480.0,1978.0,2594.0,5017.0,3.3,2.1,3.4,427.0,567.0,673.0,895.0,61.53,63.0,57.0,Southeast Asia
Nepal,127,20.0,118.0,9.6,21.8,2.7,4.4,11.0,2.2,4.7,26.4,16.0,1.63,1.0,6.0,85.2,69.5,9.2,18.7,3.0,6.8,3.5,225.0,422.0,268.0,502.0,1129.0,2185.0,3.0,2.1,3.4,169.0,231.0,273.0,366.0,63.17,63.0,62.0,South Asia
Oman,137,23.0,105.0,5.8,13.2,6.0,9.7,8.8,2.2,4.7,6.9,312.0,2.13,4.0,,63.7,16.0,5.4,98.0,4.3,12.7,5.2,27.0,84.0,33.0,101.0,25.0,46.0,2.9,1.9,3.1,12.0,26.0,19.0,45.0,75.28,77.0,72.0,West Asia/Middle East
Pakistan,138,21.0,107.0,22.0,50.1,3.5,5.6,18.6,2.6,5.0,6.5,15.0,0.37,,4.0,97.9,83.6,1.3,31.0,2.3,3.8,2.8,1095.0,1567.0,1332.0,1878.0,1605.0,2962.0,3.2,3.1,5.1,1525.0,1625.0,2475.0,2581.0,65.01,63.0,62.0,South Asia
Philippines,144,22.0,91.0,27.1,46.6,13.3,18.6,46.6,12.6,18.8,20.9,37.0,1.17,,,80.2,60.4,6.4,59.8,4.7,8.9,5.2,1185.0,1743.0,1321.0,1944.0,4349.0,6000.0,12.1,9.5,14.8,2415.0,2700.0,3723.0,4198.0,71.34,71.0,64.0,Southeast Asia
Qatar,148,31.0,75.0,14.6,33.3,6.0,9.5,18.5,4.2,12.8,3.9,2186.0,3.2,,,88.2,21.9,9.7,100.0,3.5,7.6,4.2,3.0,21.0,4.0,27.0,3.0,5.0,8.4,11.8,17.5,10.0,18.0,15.0,29.0,75.26,77.0,77.0,West Asia/Middle East
Saudi Arabia,158,24.0,109.0,10.9,24.7,5.3,8.5,9.6,2.6,9.4,4.6,448.0,2.59,,,14.4,22.8,8.7,96.0,3.0,5.7,3.5,155.0,315.0,183.0,372.0,143.0,271.0,6.0,5.5,8.7,305.0,429.0,481.0,695.0,72.49,73.0,68.0,West Asia/Middle East
Singapore,163,38.0,128.0,11.87,48.7,4.3,13.8,30.49,11.5,35.1,13.2,944.0,1.12,,,94.0,66.4,5.4,99.7,5.12,22.3,11.1,208.0,380.0,273.0,478.0,205.0,323.0,15.64,11.19,29.9,402.0,417.0,733.0,772.0,79.67,83.0,78.0,Southeast Asia
Sri Lanka,170,30.0,118.0,10.3,23.6,2.0,3.2,9.1,1.6,5.0,17.2,51.0,1.89,,,85.8,50.8,8.3,96.0,0.8,2.3,0.9,67.0,185.0,83.0,223.0,840.0,1544.0,3.2,2.1,3.4,192.0,305.0,304.0,480.0,72.0,76.0,69.0,South Asia
Syria,176,21.0,60.0,19.9,44.8,12.5,20.1,30.5,3.4,18.0,2.0,61.36,2.12,,,100.0,52.4,5.9,93.0,4.7,7.2,5.6,202.0,265.0,240.0,316.0,55.0,118.0,11.6,11.1,17.5,502.0,465.0,787.0,720.0,,75.0,70.0,West Asia/Middle East
Taiwan,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.29,,,East Asia
Tajikistan,178,20.0,90.0,5.46,13.2,1.65,2.6,6.48,2.78,2.5,9.9,18.0,1.14,,,97.0,77.4,5.5,83.4,11.79,25.5,15.3,283.0,376.0,332.0,455.0,70.0,232.0,3.71,2.17,2.0,28.0,25.0,44.0,52.0,66.47,66.0,63.0,Central Asia
Thailand,180,33.0,129.0,4.13,16.6,1.08,4.5,15.92,6.18,10.7,19.8,98.0,2.24,,,76.6,35.6,11.3,97.3,1.21,4.3,2.9,743.0,964.0,856.0,1101.0,2620.0,6243.0,2.39,1.7,7.1,1319.0,1715.0,2108.0,2744.0,70.1,75.0,69.0,Southeast Asia
Timor-Leste,181,17.0,118.0,,,,,,,,,,,,20.0,37.2,11.2,16.4,,,,,,,,,,,,,,,,,,,69.0,64.0,Southeast Asia
Turkey,186,27.0,95.0,9.7,22.0,5.0,8.0,44.1,4.9,9.1,4.5,383.0,5.43,,,70.3,28.5,16.5,83.0,5.4,12.2,6.4,1618.0,2821.0,1915.0,3320.0,726.0,1364.0,5.8,5.4,8.5,1654.0,1625.0,2571.0,2545.0,71.54,75.0,71.0,West Asia/Middle East
Turkmenistan,187,24.0,99.0,8.5,17.9,1.5,2.5,18.3,4.1,2.2,13.5,156.0,3.2,,,100.0,33.3,14.9,99.5,11.2,23.1,13.5,194.0,251.0,237.0,309.0,96.0,274.0,1.3,1.1,2.3,19.0,19.0,43.0,32.0,62.97,67.0,60.0,Central Asia
United Arab Emirates,191,30.0,100.0,10.5,24.1,6.5,10.4,12.7,4.8,12.2,9.9,833.0,1.86,,,77.9,27.1,8.7,100.0,7.4,12.3,8.7,38.0,167.0,46.0,201.0,36.0,73.0,7.7,7.3,11.6,43.0,134.0,69.0,220.0,78.46,80.0,77.0,West Asia/Middle East
Uzbekistan,195,23.0,74.0,7.62,17.3,2.02,2.4,10.98,3.12,3.7,10.7,26.0,2.39,,,97.1,49.8,8.0,99.9,5.99,18.0,8.6,679.0,1118.0,832.0,1383.0,379.0,1149.0,3.5,2.84,3.3,202.0,155.0,329.0,313.0,67.0,70.0,65.0,Central Asia
Vietnam,198,25.0,123.0,7.1,16.2,1.7,2.8,27.4,6.7,11.8,20.3,37.0,1.54,,,89.5,67.6,6.8,87.7,8.4,21.8,10.0,2661.0,5190.0,3159.0,6104.0,3334.0,6224.0,7.6,5.2,8.3,1664.0,2220.0,2601.0,3428.0,73.94,75.0,69.0,Southeast Asia
Yemen,200,17.0,108.0,15.6,35.1,1.0,1.6,3.8,3.4,9.1,8.0,39.0,2.13,2.0,3.0,95.2,53.6,5.6,26.8,2.9,6.9,3.3,127.0,173.0,150.0,200.0,206.0,370.0,5.6,3.6,5.9,170.0,180.0,282.0,294.0,62.1,62.0,59.0,West Asia/Middle East
